"","tanggal","KASUS","MENINGGAL","SEMBUH","DIRAWAT_OR_ISOLASI","AKUMULASI_KASUS","AKUMULASI_SEMBUH","AKUMULASI_MENINGGAL","AKUMULASI_DIRAWAT_OR_ISOLASI"
"1",1584316800000,1,0,0,1,1,0,0,1
"2",1584403200000,0,0,0,0,1,0,0,1
"3",1584489600000,0,0,0,0,1,0,0,1
"4",1.584576e+12,0,0,0,0,1,0,0,1
"5",1584662400000,0,0,1,-1,1,1,0,0
"6",1584748800000,0,0,0,0,1,1,0,0
"7",1584835200000,0,0,0,0,1,1,0,0
"8",1584921600000,0,1,0,-1,1,1,1,-1
"9",1.585008e+12,0,0,0,0,1,1,1,-1
"10",1585094400000,0,1,0,-1,1,1,2,-2
"11",1585180800000,0,0,0,0,1,1,2,-2
"12",1585267200000,1,0,0,1,2,1,2,-1
"13",1585353600000,0,0,0,0,2,1,2,-1
"14",1.58544e+12,0,0,0,0,2,1,2,-1
"15",1585526400000,1,0,1,0,3,2,2,-1
"16",1585612800000,5,0,0,5,8,2,2,4
"17",1585699200000,5,0,1,4,13,3,2,8
"18",1585785600000,0,1,0,-1,13,3,3,7
"19",1.585872e+12,0,0,0,0,13,3,3,7
"20",1585958400000,5,0,0,5,18,3,3,12
"21",1586044800000,1,0,0,1,19,3,3,13
"22",1586131200000,3,0,1,2,22,4,3,15
"23",1586217600000,1,0,0,1,23,4,3,16
"24",1.586304e+12,0,3,3,-6,23,7,6,10
"25",1586390400000,2,0,3,-1,25,10,6,9
"26",1586476800000,0,0,3,-3,25,13,6,6
"27",1586563200000,0,0,0,0,25,13,6,6
"28",1586649600000,0,0,5,-5,25,18,6,1
"29",1.586736e+12,16,0,0,16,41,18,6,17
"30",1586822400000,5,0,4,1,46,22,6,18
"31",1586908800000,1,0,0,1,47,22,6,19
"32",1586995200000,1,0,0,1,48,22,6,20
"33",1587081600000,1,1,3,-3,49,25,7,17
"34",1.587168e+12,3,0,2,1,52,27,7,18
"35",1587254400000,0,0,1,-1,52,28,7,17
"36",1587340800000,2,0,0,2,54,28,7,19
"37",1587427200000,3,0,3,0,57,31,7,19
"38",1587513600000,3,0,5,-2,60,36,7,17
"39",1.5876e+12,1,0,1,0,61,37,7,17
"40",1587686400000,1,0,0,1,62,37,7,18
"41",1587772800000,2,0,0,2,64,37,7,20
"42",1587859200000,3,0,0,3,67,37,7,23
"43",1587945600000,1,0,2,-1,68,39,7,22
"44",1.588032e+12,10,0,1,9,78,40,7,31
"45",1588118400000,1,0,3,-2,79,43,7,29
"46",1588204800000,1,0,0,1,80,43,7,30
"47",1588291200000,9,0,5,4,89,48,7,34
"48",1588377600000,10,0,0,10,99,48,7,44
"49",1.588464e+12,1,0,0,1,100,48,7,45
"50",1588550400000,0,0,4,-4,100,52,7,41
"51",1588636800000,6,0,1,5,106,53,7,46
"52",1588723200000,1,0,5,-4,107,58,7,42
"53",1588809600000,15,0,1,14,122,59,7,56
"54",1.588896e+12,6,0,0,6,128,59,7,62
"55",1588982400000,3,0,2,1,131,61,7,63
"56",1589068800000,7,0,0,7,138,61,7,70
"57",1589155200000,6,1,6,-1,144,67,8,69
"58",1589241600000,10,0,0,10,154,67,8,79
"59",1.589328e+12,12,0,1,11,166,68,8,90
"60",1589414400000,4,0,7,-3,170,75,8,87
"61",1589500800000,3,0,12,-9,173,87,8,78
"62",1589587200000,6,0,1,5,179,88,8,83
"63",1589673600000,5,0,3,2,184,91,8,85
"64",1.58976e+12,1,0,3,-2,185,94,8,83
"65",1589846400000,7,0,12,-5,192,106,8,78
"66",1589932800000,2,0,8,-6,194,114,8,72
"67",1590019200000,6,0,7,-1,200,121,8,71
"68",1590105600000,5,0,2,3,205,123,8,74
"69",1.590192e+12,5,0,6,-1,210,129,8,73
"70",1590278400000,1,0,4,-3,211,133,8,70
"71",1590364800000,0,0,1,-1,211,134,8,69
"72",1590451200000,0,0,4,-4,211,138,8,65
"73",1590537600000,2,0,9,-7,213,147,8,58
"74",1.590624e+12,0,0,8,-8,213,155,8,50
"75",1590710400000,2,0,6,-4,215,161,8,46
"76",1590796800000,3,0,1,2,218,162,8,48
"77",1590883200000,3,0,7,-4,221,169,8,44
"78",1590969600000,1,0,0,1,222,169,8,45
"79",1.591056e+12,0,0,1,-1,222,170,8,44
"80",1591142400000,0,0,1,-1,222,171,8,43
"81",1591228800000,0,0,3,-3,222,174,8,40
"82",1591315200000,1,0,6,-5,223,180,8,35
"83",1591401600000,4,0,5,-1,227,185,8,34
