"","tanggal","akumulasi_aktif","akumulasi_sembuh","akumulasi_meninggal"
"1",2020-03-16,1,0,0
"2",2020-03-17,1,0,0
"3",2020-03-18,1,0,0
"4",2020-03-19,1,0,0
"5",2020-03-20,0,1,0
"6",2020-03-21,0,1,0
"7",2020-03-22,0,1,0
"8",2020-03-23,-1,1,1
"9",2020-03-24,-1,1,1
"10",2020-03-25,-2,1,2
"11",2020-03-26,-2,1,2
"12",2020-03-27,-1,1,2
"13",2020-03-28,-1,1,2
"14",2020-03-29,-1,1,2
"15",2020-03-30,-1,2,2
"16",2020-03-31,4,2,2
"17",2020-04-01,8,3,2
"18",2020-04-02,7,3,3
"19",2020-04-03,7,3,3
"20",2020-04-04,12,3,3
"21",2020-04-05,13,3,3
"22",2020-04-06,15,4,3
"23",2020-04-07,16,4,3
"24",2020-04-08,10,7,6
"25",2020-04-09,9,10,6
"26",2020-04-10,6,13,6
"27",2020-04-11,6,13,6
"28",2020-04-12,1,18,6
"29",2020-04-13,17,18,6
"30",2020-04-14,18,22,6
"31",2020-04-15,19,22,6
"32",2020-04-16,20,22,6
"33",2020-04-17,17,25,7
"34",2020-04-18,18,27,7
"35",2020-04-19,17,28,7
"36",2020-04-20,19,28,7
"37",2020-04-21,19,31,7
"38",2020-04-22,17,36,7
"39",2020-04-23,17,37,7
"40",2020-04-24,18,37,7
"41",2020-04-25,20,37,7
"42",2020-04-26,23,37,7
"43",2020-04-27,22,39,7
"44",2020-04-28,31,40,7
"45",2020-04-29,29,43,7
"46",2020-04-30,30,43,7
"47",2020-05-01,34,48,7
"48",2020-05-02,44,48,7
"49",2020-05-03,45,48,7
"50",2020-05-04,41,52,7
"51",2020-05-05,46,53,7
"52",2020-05-06,42,58,7
"53",2020-05-07,56,59,7
"54",2020-05-08,62,59,7
"55",2020-05-09,63,61,7
"56",2020-05-10,70,61,7
"57",2020-05-11,69,67,8
"58",2020-05-12,79,67,8
"59",2020-05-13,90,68,8
"60",2020-05-14,87,75,8
"61",2020-05-15,78,87,8
"62",2020-05-16,83,88,8
"63",2020-05-17,85,91,8
"64",2020-05-18,83,94,8
"65",2020-05-19,78,106,8
"66",2020-05-20,72,114,8
"67",2020-05-21,71,121,8
"68",2020-05-22,74,123,8
"69",2020-05-23,73,129,8
"70",2020-05-24,70,133,8
"71",2020-05-25,69,134,8
"72",2020-05-26,65,138,8
"73",2020-05-27,58,147,8
"74",2020-05-28,50,155,8
"75",2020-05-29,46,161,8
"76",2020-05-30,48,162,8
"77",2020-05-31,44,169,8
"78",2020-06-01,45,169,8
"79",2020-06-02,44,170,8
"80",2020-06-03,43,171,8
"81",2020-06-04,40,174,8
"82",2020-06-05,35,180,8
"83",2020-06-06,34,185,8
"84",2020-06-07,34,187,8
"85",2020-06-08,30,194,8
"86",2020-06-09,32,194,8
"87",2020-06-10,32,195,8
"88",2020-06-11,29,200,8
"89",2020-06-12,34,205,8
"90",2020-06-13,30,211,8
"91",2020-06-14,34,212,8
"92",2020-06-15,35,214,8
"93",2020-06-16,32,218,8
"94",2020-06-17,33,220,8
"95",2020-06-18,26,227,8
"96",2020-06-19,23,231,8
"97",2020-06-20,31,231,8
"98",2020-06-21,27,238,8
"99",2020-06-22,27,238,8
"100",2020-06-23,25,243,8
"101",2020-06-24,13,256,8
"102",2020-06-25,17,259,8
"103",2020-06-26,17,262,8
"104",2020-06-27,18,263,8
"105",2020-06-28,19,264,8
"106",2020-06-29,18,265,8
"107",2020-06-30,24,266,8
"108",2020-07-01,22,269,8
"109",2020-07-02,23,273,9
"110",2020-07-03,24,276,9
"111",2020-07-04,24,277,9
"112",2020-07-05,30,277,9
"113",2020-07-06,33,282,9
"114",2020-07-07,37,285,9
"115",2020-07-08,38,286,10
"116",2020-07-09,41,290,10
"117",2020-07-10,45,293,10
"118",2020-07-11,51,294,10
"119",2020-07-12,49,297,10
"120",2020-07-13,49,305,10
"121",2020-07-14,51,310,11
"122",2020-07-15,57,313,11
"123",2020-07-16,65,313,11
"124",2020-07-17,67,315,11
"125",2020-07-18,67,323,11
"126",2020-07-19,81,323,12
"127",2020-07-20,83,326,13
"128",2020-07-21,107,329,14
"129",2020-07-22,125,330,16
"130",2020-07-23,131,334,16
"131",2020-07-24,147,340,17
"132",2020-07-25,157,346,18
"133",2020-07-26,163,346,19
"134",2020-07-27,174,350,19
"135",2020-07-28,182,355,20
"136",2020-07-29,185,367,20
"137",2020-07-30,194,381,20
"138",2020-07-31,242,397,20
"139",2020-08-01,297,408,21
"140",2020-08-02,304,420,21
"141",2020-08-03,303,433,21
"142",2020-08-04,301,447,21
"143",2020-08-05,289,476,21
"144",2020-08-06,287,496,21
"145",2020-08-07,277,525,21
"146",2020-08-08,264,552,23
"147",2020-08-09,253,570,24
"148",2020-08-10,243,593,25
"149",2020-08-11,231,609,25
"150",2020-08-12,226,633,26
"151",2020-08-13,224,646,26
"152",2020-08-14,245,658,28
"153",2020-08-15,287,662,28
"154",2020-08-16,307,675,28
"155",2020-08-17,316,682,28
"156",2020-08-18,320,695,29
"157",2020-08-19,333,713,29
"158",2020-08-20,327,765,31
"159",2020-08-21,323,793,32
"160",2020-08-22,322,808,33
"161",2020-08-23,319,826,33
