"","tanggal","kategori","jumlah"
"1",2020-03-16,"aktif",1
"2",2020-03-17,"aktif",1
"3",2020-03-18,"aktif",1
"4",2020-03-19,"aktif",1
"5",2020-03-20,"aktif",0
"6",2020-03-21,"aktif",0
"7",2020-03-22,"aktif",0
"8",2020-03-23,"aktif",-1
"9",2020-03-24,"aktif",-1
"10",2020-03-25,"aktif",-2
"11",2020-03-26,"aktif",-2
"12",2020-03-27,"aktif",-1
"13",2020-03-28,"aktif",-1
"14",2020-03-29,"aktif",-1
"15",2020-03-30,"aktif",-1
"16",2020-03-31,"aktif",4
"17",2020-04-01,"aktif",8
"18",2020-04-02,"aktif",7
"19",2020-04-03,"aktif",7
"20",2020-04-04,"aktif",12
"21",2020-04-05,"aktif",13
"22",2020-04-06,"aktif",15
"23",2020-04-07,"aktif",16
"24",2020-04-08,"aktif",10
"25",2020-04-09,"aktif",9
"26",2020-04-10,"aktif",6
"27",2020-04-11,"aktif",6
"28",2020-04-12,"aktif",1
"29",2020-04-13,"aktif",17
"30",2020-04-14,"aktif",18
"31",2020-04-15,"aktif",19
"32",2020-04-16,"aktif",20
"33",2020-04-17,"aktif",17
"34",2020-04-18,"aktif",18
"35",2020-04-19,"aktif",17
"36",2020-04-20,"aktif",19
"37",2020-04-21,"aktif",19
"38",2020-04-22,"aktif",17
"39",2020-04-23,"aktif",17
"40",2020-04-24,"aktif",18
"41",2020-04-25,"aktif",20
"42",2020-04-26,"aktif",23
"43",2020-04-27,"aktif",22
"44",2020-04-28,"aktif",31
"45",2020-04-29,"aktif",29
"46",2020-04-30,"aktif",30
"47",2020-05-01,"aktif",34
"48",2020-05-02,"aktif",44
"49",2020-05-03,"aktif",45
"50",2020-05-04,"aktif",41
"51",2020-05-05,"aktif",46
"52",2020-05-06,"aktif",42
"53",2020-05-07,"aktif",56
"54",2020-05-08,"aktif",62
"55",2020-05-09,"aktif",63
"56",2020-05-10,"aktif",70
"57",2020-05-11,"aktif",69
"58",2020-05-12,"aktif",79
"59",2020-05-13,"aktif",90
"60",2020-05-14,"aktif",87
"61",2020-05-15,"aktif",78
"62",2020-05-16,"aktif",83
"63",2020-05-17,"aktif",85
"64",2020-05-18,"aktif",83
"65",2020-05-19,"aktif",78
"66",2020-05-20,"aktif",72
"67",2020-05-21,"aktif",71
"68",2020-05-22,"aktif",74
"69",2020-05-23,"aktif",73
"70",2020-05-24,"aktif",70
"71",2020-05-25,"aktif",69
"72",2020-05-26,"aktif",65
"73",2020-05-27,"aktif",58
